id_transacao,data_venda,cliente_id,nome_cliente,idade_cliente,genero_cliente,cidade_cliente,estado_cliente,renda_estimada,produto_id,nome_produto,categoria,marca,preco_unitario,quantidade,subtotal,desconto_percent,desconto_valor,valor_final,regiao,canal_venda,custo_produto,margem_lucro,vendedor_id,comissao_vendedor,mes,trimestre,dia_semana,periodo_dia,status_entrega,avaliacao_produto,tempo_entrega_dias,forma_pagamento,parcelas
TXN00000012,2023-07-27,CLI001243,Carlos Souza,20,M,Fortaleza,GO,8860,PRD031,Fitbit Charge,Armazenamento,Xiaomi,5601.55,1,5601.55,10,560.16,5041.4,Centro-Oeste,Marketplace,1844.66,0.29,VEN025,173.92,1,1,Quinta,Tarde,Processando,4.9,12,Cartão Débito,3
TXN00000013,2024-01-19,CLI000574,Rodrigo Castro,48,F,São Paulo,CE,16272,PRD011,Fitbit Charge,Smartphones,Microsoft,5026,2,10052,12,1206.24,8845.76,Sudeste,Telefone,1575.13,0.58,VEN032,88.48,8,1,Domingo,Noite,Processando,3.5,13,Cartão Débito,9
TXN00000014,2024-04-01,CLI000825,Juliana Barbosa,22,M,Teresina,MG,5447,PRD004,PlayStation 5,Notebooks,Microsoft,5287.66,3,15862.98,6,951.78,14911.2,Sul,Loja Física,2087.91,0.39,VEN005,381.07,12,1,Quarta,Tarde,Em Trânsito,4.9,6,Boleto,1
TXN00000015,2023-11-18,CLI000249,Rodrigo Castro,52,M,Curitiba,MG,6590,PRD070,Capa iPhone,Smartphones,Microsoft,5548.17,2,11096.34,5,554.82,10541.52,Nordeste,App Mobile,2863.57,0.59,VEN001,72.21,6,4,Terça,Manhã,Entregue,4.8,3,Cartão Débito,10
TXN00000016,2023-03-25,CLI001109,Pedro Oliveira,34,F,Salvador,RJ,4386,PRD037,MacBook Air,Periféricos,Fitbit,4676.04,4,18704.16,24,4489,14215.16,Sudeste,Marketplace,2369.65,0.58,VEN032,438.3,1,4,Quarta,Tarde,Entregue,2.4,4,Cartão Crédito,2
TXN00000017,2023-09-26,CLI001042,Roberto Lima,63,F,Florianópolis,CE,19787,PRD015,Teclado Mecânico,Audio,Logitech,7287.58,2,14575.16,2,291.5,14283.66,Centro-Oeste,Online,3727.13,0.59,VEN046,94.29,3,3,Sábado,Noite,Em Trânsito,3.3,2,Cartão Crédito,1
TXN00000018,2024-02-21,CLI000133,Antonio Pereira,68,M,Vitória,PR,19353,PRD004,Nintendo Switch,Audio,Dell,3947.97,3,11843.91,2,236.88,11607.03,Sul,Telefone,1585.99,0.4,VEN037,352.89,2,4,Quarta,Tarde,Processando,3.6,6,PIX,3
TXN00000019,2024-02-10,CLI001151,Marcos Ribeiro,56,F,São Paulo,PR,19007,PRD067,MacBook Air,Periféricos,Dell,6992.64,5,34963.2,7,2447.42,32515.78,Nordeste,Online,4447.44,0.49,VEN018,315.1,12,4,Domingo,Tarde,Em Trânsito,3.5,7,Cartão Débito,11
TXN00000020,2024-12-14,CLI000040,Simone Dias,20,F,Fortaleza,PR,2282,PRD040,Mouse Logitech,Wearables,Fitbit,7961.39,2,15922.78,21,3343.78,12579,Sul,Marketplace,4588.27,0.32,VEN013,432.39,5,3,Quinta,Manhã,Processando,3.2,3,PIX,12
TXN00000021,2023-10-06,CLI000363,Roberto Lima,55,M,Salvador,PE,7638,PRD004,iPad Pro,Audio,Garmin,7879.21,2,15758.42,7,1103.09,14655.33,Centro-Oeste,Loja Física,5287.02,0.43,VEN045,417.01,10,1,Sexta,Noite,Processando,4.8,15,Boleto,9
TXN00000022,2024-02-14,CLI000224,Simone Dias,43,M,Aracaju,SP,3651,PRD043,Smartwatch Garmin,Gaming,JBL,7048.91,1,7048.91,7,493.42,6555.49,Norte,Telefone,3914.15,0.51,VEN013,107.88,4,1,Quarta,Noite,Entregue,2.8,1,Cartão Crédito,5
TXN00000023,2023-06-19,CLI000630,Roberto Lima,28,M,Florianópolis,GO,5960,PRD100,Dell XPS 13,Monitores,Fitbit,2648.31,1,2648.31,11,291.31,2357,Centro-Oeste,Marketplace,970.38,0.55,VEN047,292.67,3,4,Quarta,Manhã,Em Trânsito,3.9,12,Cartão Crédito,6
TXN00000024,2023-08-31,CLI000310,Ana Costa,44,F,Campo Grande,MG,15509,PRD022,Xbox Series X,Notebooks,Dell,6425.37,1,6425.37,14,899.55,5525.82,Norte,Telefone,2375.64,0.56,VEN043,216.73,6,3,Quinta,Tarde,Entregue,3.6,6,Cartão Crédito,7
TXN00000025,2024-06-15,CLI000426,Pedro Oliveira,66,M,Teresina,PR,10514,PRD071,Fone JBL,Audio,Apple,7233.54,5,36167.7,7,2531.74,33635.96,Sul,Online,3357.34,0.46,VEN039,406.25,4,3,Segunda,Noite,Processando,1.8,10,Boleto,11
TXN00000026,2024-06-19,CLI000727,Rodrigo Castro,55,F,Natal,RJ,16936,PRD017,Mouse Logitech,Monitores,Dell,5911.88,1,5911.88,14,827.66,5084.22,Sul,Loja Física,2483.45,0.37,VEN012,70.7,6,4,Domingo,Noite,Processando,2.8,11,PIX,12
TXN00000027,2023-02-25,CLI001177,Rodrigo Castro,18,M,Florianópolis,GO,18115,PRD069,Samsung Galaxy S24,Monitores,Dell,6743.92,5,33719.6,6,2023.18,31696.42,Norte,Loja Física,3841.54,0.43,VEN025,328.67,10,4,Domingo,Noite,Processando,3.1,2,PIX,12
TXN00000028,2024-03-26,CLI000385,Juliana Barbosa,67,M,Goiânia,MG,19498,PRD034,Suporte Celular,Smartphones,Logitech,229.68,1,229.68,22,50.53,179.15,Nordeste,Marketplace,124.21,0.21,VEN043,464.08,7,2,Sábado,Tarde,Entregue,3.4,10,Boleto,8
TXN00000029,2023-09-01,CLI000732,Rodrigo Castro,29,M,Curitiba,PE,11515,PRD087,Echo Dot,Audio,Garmin,1784.32,3,5352.96,2,107.06,5245.9,Norte,Telefone,676.46,0.2,VEN009,83.29,4,4,Sábado,Noite,Entregue,4.5,7,Cartão Crédito,1
TXN00000030,2023-09-05,CLI001987,Carlos Souza,27,M,Goiânia,RJ,4648,PRD029,iPhone 15,Smartphones,Amazon,5065.17,3,15195.51,5,759.78,14435.73,Centro-Oeste,Marketplace,1806.39,0.3,VEN022,328.76,10,4,Terça,Noite,Em Trânsito,3.5,15,Boleto,4
TXN00000031,2023-09-15,CLI000728,Felipe Nascimento,62,M,Vitória,PR,10459,PRD081,Tablet Samsung,Acessórios,Microsoft,6956.86,5,34784.3,25,8696.07,26088.22,Norte,Telefone,4103.6,0.21,VEN018,109.57,8,1,Quinta,Tarde,Processando,1.8,7,PIX,11
TXN00000032,2023-12-30,CLI001867,Simone Dias,20,F,Maceió,SC,12580,PRD042,Fitbit Charge,Acessórios,Apple,4503.43,3,13510.29,19,2566.96,10943.33,Norte,App Mobile,2113.16,0.52,VEN049,435.53,5,4,Terça,Tarde,Processando,2.2,7,Cartão Crédito,4
TXN00000033,2023-07-14,CLI000734,Felipe Nascimento,29,F,Recife,RS,16634,PRD022,Mouse Logitech,Wearables,Sony,138.18,3,414.54,11,45.6,368.94,Nordeste,App Mobile,69.35,0.46,VEN022,375.03,6,2,Quarta,Manhã,Entregue,3.8,7,Cartão Débito,11
TXN00000034,2024-06-20,CLI001231,Carla Mendes,66,F,João Pessoa,CE,9813,PRD011,Xbox Series X,Gaming,Amazon,7857.38,3,23572.14,22,5185.87,18386.27,Norte,App Mobile,4900.95,0.43,VEN028,229.31,5,3,Quinta,Manhã,Entregue,4.2,15,Cartão Crédito,2
TXN00000035,2023-11-05,CLI001918,Mariana Cardoso,40,F,Curitiba,PE,14142,PRD012,Echo Dot,Acessórios,Samsung,3528.37,3,10585.11,5,529.26,10055.85,Centro-Oeste,Online,2421.39,0.49,VEN040,94.78,12,1,Quinta,Tarde,Entregue,4.4,11,Cartão Crédito,3
TXN00000036,2023-02-22,CLI000705,Mariana Cardoso,67,M,Maceió,BA,14137,PRD085,SSD 1TB,Smartphones,Microsoft,7175.25,5,35876.25,28,10045.35,25830.9,Nordeste,Loja Física,4537.78,0.16,VEN025,167.72,8,2,Domingo,Tarde,Entregue,2.3,9,PIX,3
TXN00000037,2023-05-06,CLI000449,Roberto Lima,42,F,Natal,PR,6533,PRD084,Dell XPS 13,Audio,Dell,2463.59,1,2463.59,9,221.72,2241.87,Sudeste,Loja Física,1302.43,0.45,VEN002,247.63,1,4,Terça,Manhã,Processando,1.8,10,PIX,11
TXN00000038,2024-09-26,CLI001153,Simone Dias,52,F,Rio de Janeiro,PE,10580,PRD002,Webcam HD,Gaming,Microsoft,5851.87,4,23407.48,19,4447.42,18960.06,Centro-Oeste,Marketplace,2357.04,0.57,VEN032,374.63,2,4,Terça,Noite,Entregue,1.9,10,PIX,1
TXN00000039,2024-05-19,CLI001698,Beatriz Araújo,27,F,Recife,PR,5177,PRD035,Fone JBL,Notebooks,Garmin,5493.84,1,5493.84,22,1208.64,4285.2,Centro-Oeste,Loja Física,1826,0.27,VEN034,327.84,1,2,Segunda,Manhã,Em Trânsito,1.3,6,PIX,9
TXN00000040,2024-11-09,CLI000095,Beatriz Araújo,50,F,Fortaleza,SC,13437,PRD004,Sony WH-1000XM5,Notebooks,Xiaomi,1320.65,2,2641.3,17,449.02,2192.28,Centro-Oeste,Telefone,819.28,0.33,VEN013,304.31,2,2,Sábado,Tarde,Em Trânsito,3.3,9,Cartão Débito,7
TXN00000041,2023-12-04,CLI001911,Ana Costa,29,F,Recife,RS,12954,PRD007,Apple Watch,Acessórios,Logitech,820.28,1,820.28,20,164.06,656.22,Centro-Oeste,Telefone,520.85,0.2,VEN049,394.13,12,4,Quinta,Tarde,Em Trânsito,1.9,13,PIX,9
TXN00000042,2023-10-01,CLI001999,Simone Dias,41,F,Campo Grande,PE,14975,PRD037,Fone JBL,Gaming,JBL,3557.26,2,7114.52,1,71.15,7043.37,Nordeste,Loja Física,2197.77,0.52,VEN018,431.49,4,1,Quinta,Noite,Processando,3.6,10,Cartão Débito,9
TXN00000043,2023-05-20,CLI000709,Maria Santos,36,M,Salvador,RS,8208,PRD086,iPad Pro,Monitores,Amazon,6101.45,2,12202.9,29,3538.84,8664.06,Nordeste,Loja Física,2048.67,0.44,VEN008,69.77,4,3,Sábado,Tarde,Entregue,4.9,11,Boleto,11
TXN00000044,2023-03-02,CLI001084,Pedro Oliveira,29,F,Teresina,RS,14579,PRD055,Sony WH-1000XM5,Tablets,Samsung,2595.85,1,2595.85,20,519.17,2076.68,Centro-Oeste,Marketplace,1199.12,0.33,VEN004,428.03,8,4,Domingo,Noite,Em Trânsito,4.3,5,PIX,10
TXN00000045,2024-11-10,CLI001728,Eduardo Gomes,58,M,Vitória,SC,10983,PRD091,SSD 1TB,Monitores,Microsoft,2346.16,5,11730.8,8,938.46,10792.34,Norte,App Mobile,1570.5,0.39,VEN005,396.38,11,1,Terça,Manhã,Entregue,2,5,Cartão Crédito,4
TXN00000046,2023-05-27,CLI001057,Rodrigo Castro,47,F,São Paulo,PE,9119,PRD029,Smartwatch Garmin,Periféricos,Logitech,962.82,1,962.82,7,67.4,895.42,Sul,Online,659.51,0.5,VEN041,350.51,7,2,Sábado,Manhã,Processando,3.7,6,Cartão Débito,4
TXN00000047,2024-07-04,CLI001139,Pedro Oliveira,62,M,Aracaju,MG,9783,PRD067,Nintendo Switch,Audio,JBL,1551.95,3,4655.85,29,1350.2,3305.65,Nordeste,App Mobile,496.04,0.44,VEN010,433.9,8,1,Quinta,Noite,Processando,4.5,1,Cartão Crédito,1
TXN00000048,2023-08-24,CLI001127,Maria Santos,45,F,Teresina,RJ,3363,PRD083,iPad Pro,Smartphones,Nintendo,801.22,5,4006.1,16,640.98,3365.12,Centro-Oeste,Marketplace,497.46,0.22,VEN008,324.31,9,1,Sábado,Manhã,Em Trânsito,3.1,9,PIX,10
TXN00000049,2023-01-18,CLI001493,Ricardo Martins,57,F,Fortaleza,RS,18394,PRD027,PlayStation 5,Gaming,Logitech,1284.13,4,5136.52,20,1027.3,4109.22,Norte,Loja Física,869.04,0.36,VEN003,358.82,7,1,Sábado,Noite,Processando,1.2,5,PIX,6
TXN00000050,2023-02-03,CLI000606,Ana Costa,34,M,Belém,PE,18615,PRD008,Fone JBL,Smartphones,Microsoft,1840.46,3,5521.38,21,1159.49,4361.89,Sudeste,Telefone,940.27,0.28,VEN003,80.02,4,4,Terça,Tarde,Processando,4.9,12,Boleto,7
TXN00000051,2023-07-10,CLI001825,Ana Costa,62,M,Fortaleza,RJ,17721,PRD096,Nintendo Switch,Wearables,Sony,1424.68,4,5698.72,25,1424.68,4274.04,Nordeste,Online,839.82,0.38,VEN034,230.34,12,2,Segunda,Noite,Processando,1.8,9,PIX,12
TXN00000052,2024-05-19,CLI000299,Eduardo Gomes,34,M,Florianópolis,CE,10425,PRD084,AirPods Pro,Notebooks,Garmin,1130.08,3,3390.24,18,610.24,2780,Nordeste,Marketplace,733.71,0.25,VEN013,191.03,5,3,Domingo,Noite,Processando,3.6,1,PIX,4
TXN00000053,2024-04-06,CLI001076,Ricardo Martins,38,M,Manaus,RJ,15955,PRD004,Película Protetora,Audio,Garmin,647.92,1,647.92,27,174.94,472.98,Nordeste,Marketplace,263.11,0.18,VEN010,431.93,11,3,Segunda,Manhã,Em Trânsito,2.8,13,Cartão Débito,4
TXN00000054,2023-04-04,CLI001564,Ricardo Martins,41,F,Curitiba,RS,4042,PRD008,Tablet Samsung,Audio,JBL,2071.07,2,4142.14,2,82.84,4059.3,Sudeste,App Mobile,1227.21,0.21,VEN023,474.03,1,1,Terça,Tarde,Processando,5,3,PIX,11
TXN00000055,2023-01-10,CLI000428,João Silva,62,F,Recife,MG,3604,PRD062,Webcam HD,Monitores,Xiaomi,4109.32,2,8218.64,6,493.12,7725.52,Norte,Telefone,2610.95,0.5,VEN044,216.27,8,4,Segunda,Noite,Em Trânsito,1.5,2,Cartão Débito,1
TXN00000056,2023-04-12,CLI000241,Carlos Souza,47,F,Rio de Janeiro,MG,6205,PRD011,Webcam HD,Armazenamento,Microsoft,7955.74,4,31822.96,15,4773.44,27049.52,Sul,Loja Física,2728.44,0.5,VEN005,129.19,9,3,Sábado,Noite,Em Trânsito,3.8,1,PIX,3
TXN00000057,2024-12-09,CLI001018,Carlos Souza,19,F,Aracaju,BA,3543,PRD049,iPhone 15,Gaming,Xiaomi,628.89,2,1257.78,5,62.89,1194.89,Centro-Oeste,Loja Física,267.19,0.55,VEN014,213.86,2,4,Quinta,Noite,Em Trânsito,2,11,Boleto,1
TXN00000058,2023-06-04,CLI001990,Carlos Souza,39,F,Belo Horizonte,SC,3005,PRD076,SSD 1TB,Periféricos,Dell,6793.35,4,27173.4,14,3804.28,23369.12,Sul,App Mobile,2249.81,0.46,VEN003,132.16,9,3,Sábado,Manhã,Em Trânsito,4.6,4,Cartão Crédito,4
TXN00000059,2023-03-07,CLI000168,Roberto Lima,62,F,Porto Alegre,RJ,9344,PRD044,Mouse Logitech,Smartphones,Dell,5556.82,4,22227.28,8,1778.18,20449.1,Centro-Oeste,Telefone,2671.52,0.33,VEN031,329.47,8,3,Sexta,Noite,Entregue,4.2,8,Cartão Débito,6
TXN00000060,2024-06-09,CLI000566,Ana Costa,68,F,Goiânia,GO,12276,PRD028,Monitor 4K,Acessórios,Samsung,6556.25,2,13112.5,3,393.38,12719.13,Sudeste,Telefone,2322.19,0.16,VEN043,429.98,4,1,Sexta,Noite,Processando,2.3,9,Boleto,8
TXN00000061,2023-04-30,CLI001426,Rodrigo Castro,65,F,Teresina,CE,14659,PRD053,Sony WH-1000XM5,Wearables,Logitech,661.59,1,661.59,5,33.08,628.51,Sul,Online,326.07,0.51,VEN003,319.52,4,1,Domingo,Manhã,Em Trânsito,3.9,14,Cartão Crédito,6
TXN00000062,2024-01-19,CLI001376,Rodrigo Castro,69,M,Aracaju,PE,3436,PRD074,Power Bank,Monitores,JBL,4158.4,4,16633.6,14,2328.7,14304.9,Sul,Marketplace,1350.55,0.44,VEN039,469.97,1,1,Terça,Manhã,Em Trânsito,3.2,8,Cartão Crédito,5
TXN00000063,2023-07-16,CLI001755,Marcos Ribeiro,45,M,Aracaju,PE,7900,PRD053,Xbox Series X,Monitores,Fitbit,5891.4,5,29457,29,8542.53,20914.47,Nordeste,App Mobile,4060.33,0.18,VEN020,354.78,7,4,Sábado,Manhã,Processando,3.2,2,Cartão Crédito,7
TXN00000064,2023-12-14,CLI001964,Felipe Nascimento,19,F,Maceió,GO,13077,PRD039,iPhone 15,Periféricos,Fitbit,7611.89,1,7611.89,9,685.07,6926.82,Sudeste,Marketplace,4154.11,0.26,VEN009,54.55,2,1,Sábado,Noite,Entregue,2.8,7,Cartão Crédito,12
TXN00000065,2024-02-28,CLI001749,Felipe Nascimento,20,M,Maceió,GO,15389,PRD021,Power Bank,Notebooks,Xiaomi,4754.93,5,23774.65,11,2615.21,21159.44,Centro-Oeste,Online,1974.15,0.23,VEN011,370.65,10,1,Terça,Tarde,Em Trânsito,4.5,8,PIX,7
TXN00000066,2023-03-28,CLI001221,Juliana Barbosa,36,F,João Pessoa,RJ,6436,PRD087,Apple Watch,Gaming,Nintendo,5522.95,5,27614.75,6,1656.88,25957.86,Sudeste,Telefone,1775.7,0.39,VEN021,320.83,8,3,Quarta,Tarde,Processando,1,14,Cartão Crédito,4
TXN00000067,2024-01-07,CLI001030,Simone Dias,45,M,Natal,PE,13279,PRD061,AirPods Pro,Gaming,Sony,1711.19,1,1711.19,2,34.22,1676.97,Centro-Oeste,Telefone,610.95,0.43,VEN035,72.05,10,4,Segunda,Tarde,Em Trânsito,2.3,12,Cartão Crédito,12
TXN00000068,2023-03-30,CLI000372,Ricardo Martins,34,M,Belém,RJ,13909,PRD066,Chromecast,Monitores,JBL,1944.28,2,3888.56,24,933.25,2955.31,Sul,Loja Física,887.84,0.41,VEN007,417.82,9,2,Sábado,Noite,Processando,2,3,Cartão Débito,12
TXN00000069,2024-03-19,CLI000272,Carla Mendes,58,M,Belém,GO,19788,PRD068,Suporte Celular,Periféricos,Garmin,493.41,4,1973.64,20,394.73,1578.91,Nordeste,Telefone,288.93,0.41,VEN043,305.85,6,2,Quarta,Manhã,Processando,3.8,11,Boleto,4
TXN00000070,2023-03-16,CLI000066,Antonio Pereira,37,M,Campo Grande,RS,17487,PRD081,Kindle Paperwhite,Notebooks,Fitbit,7909.11,5,39545.55,11,4350.01,35195.54,Sudeste,Online,2607.39,0.57,VEN046,275.18,1,4,Sábado,Manhã,Processando,2.2,5,Cartão Crédito,4
TXN00000071,2024-04-08,CLI000558,Beatriz Araújo,44,F,Florianópolis,RJ,10868,PRD017,PlayStation 5,Monitores,Fitbit,2650.19,4,10600.76,8,848.06,9752.7,Sul,Telefone,1402.54,0.33,VEN022,139.08,9,1,Sexta,Tarde,Entregue,1.3,1,Cartão Crédito,7
TXN00000072,2023-02-07,CLI000169,Ricardo Martins,28,M,Vitória,GO,2373,PRD048,Samsung Galaxy S24,Smartphones,Samsung,82.64,3,247.92,29,71.9,176.02,Sudeste,Marketplace,37.6,0.35,VEN048,429.09,9,1,Sábado,Tarde,Em Trânsito,2,7,Cartão Crédito,4
TXN00000073,2023-03-03,CLI001008,Roberto Lima,67,F,Natal,MG,4344,PRD031,Capa iPhone,Audio,Sony,6809.48,1,6809.48,18,1225.71,5583.77,Centro-Oeste,Online,4206.76,0.56,VEN006,394.18,8,3,Sábado,Noite,Entregue,3.1,6,Cartão Débito,1
TXN00000074,2024-11-13,CLI001000,Rodrigo Castro,23,M,Aracaju,RJ,19729,PRD031,Smartwatch Garmin,Smartphones,Sony,1669.52,1,1669.52,24,400.68,1268.84,Sul,App Mobile,557.98,0.56,VEN027,378.39,1,1,Quinta,Manhã,Entregue,3,15,Cartão Crédito,10
TXN00000075,2024-05-31,CLI001447,Ricardo Martins,58,M,Natal,MG,10449,PRD045,Película Protetora,Tablets,Dell,220.68,2,441.36,26,114.75,326.61,Centro-Oeste,App Mobile,106.77,0.29,VEN042,135.03,2,2,Quarta,Tarde,Em Trânsito,2.1,8,Cartão Débito,4
TXN00000076,2024-04-11,CLI000348,Felipe Nascimento,42,F,Aracaju,CE,11920,PRD046,Apple Watch,Monitores,Dell,6147.12,5,30735.6,28,8605.97,22129.63,Centro-Oeste,Marketplace,3063.71,0.21,VEN022,406.3,6,4,Sábado,Noite,Em Trânsito,4,3,Cartão Crédito,4
TXN00000077,2023-06-15,CLI001256,Lucia Ferreira,31,M,Curitiba,PR,3653,PRD035,PlayStation 5,Audio,Xiaomi,1333.79,5,6668.95,2,133.38,6535.57,Centro-Oeste,Online,628.32,0.4,VEN029,404.43,2,2,Terça,Noite,Em Trânsito,4.1,12,PIX,6
TXN00000078,2023-10-13,CLI000661,Ricardo Martins,18,F,Porto Alegre,BA,10728,PRD014,Sony WH-1000XM5,Audio,Dell,1833.66,5,9168.3,11,1008.51,8159.79,Centro-Oeste,Online,1026.68,0.26,VEN038,337.38,7,3,Domingo,Manhã,Processando,2.7,13,Cartão Débito,1
TXN00000079,2023-12-23,CLI001319,Antonio Pereira,66,M,Rio de Janeiro,RJ,9724,PRD050,Monitor 4K,Tablets,Logitech,6662.5,4,26650,26,6929,19721,Sul,Online,3679.21,0.28,VEN038,228.31,5,4,Domingo,Manhã,Processando,4.3,4,Cartão Débito,9
TXN00000080,2024-07-08,CLI001269,Carlos Souza,29,M,Recife,RS,13655,PRD059,Nintendo Switch,Periféricos,Amazon,3833.64,2,7667.28,21,1610.13,6057.15,Norte,Loja Física,1541.35,0.25,VEN021,456.52,8,2,Segunda,Tarde,Em Trânsito,2.5,9,Cartão Débito,1
TXN00000081,2023-11-27,CLI000944,Roberto Lima,34,M,Manaus,RS,17446,PRD062,Chromecast,Periféricos,JBL,4348.29,4,17393.16,13,2261.11,15132.05,Sudeste,Telefone,2425.7,0.4,VEN014,148.26,4,2,Quarta,Noite,Processando,1,7,Cartão Crédito,9
TXN00000082,2024-07-23,CLI001639,Rodrigo Castro,55,F,Vitória,SC,17182,PRD035,iPad Pro,Audio,Amazon,449.99,3,1349.97,10,135,1214.97,Norte,App Mobile,151.29,0.49,VEN005,198.04,8,2,Quinta,Tarde,Entregue,1.3,8,PIX,8
TXN00000083,2023-09-19,CLI000790,Rodrigo Castro,48,F,Teresina,PR,17781,PRD030,Película Protetora,Monitores,Garmin,4837.99,3,14513.97,12,1741.68,12772.29,Sudeste,Loja Física,2950.99,0.37,VEN010,345.4,3,1,Quinta,Tarde,Entregue,5,12,Boleto,8
TXN00000084,2024-06-17,CLI001479,Maria Santos,57,F,Florianópolis,MG,16771,PRD065,Samsung Galaxy S24,Periféricos,Microsoft,2342.16,4,9368.64,13,1217.92,8150.72,Nordeste,Telefone,1107.64,0.48,VEN038,213.24,5,1,Sábado,Manhã,Entregue,3.3,4,Cartão Crédito,4
TXN00000085,2024-08-07,CLI000556,Patricia Alves,58,M,Belém,PR,11004,PRD020,Xbox Series X,Armazenamento,Logitech,5108.48,1,5108.48,29,1481.46,3627.02,Norte,Telefone,3387.82,0.23,VEN003,142.54,3,1,Sexta,Manhã,Entregue,1.6,1,Cartão Crédito,2
TXN00000086,2024-05-06,CLI001590,Simone Dias,52,M,Belém,PR,13016,PRD063,Power Bank,Periféricos,Amazon,7120.55,5,35602.75,18,6408.49,29194.26,Sudeste,Telefone,2600.27,0.52,VEN046,176.78,8,1,Domingo,Manhã,Em Trânsito,1.9,14,PIX,6
TXN00000087,2023-12-01,CLI001772,Juliana Barbosa,66,M,Curitiba,PE,17763,PRD086,Chromecast,Notebooks,Logitech,1059.87,3,3179.61,10,317.96,2861.65,Norte,Telefone,471.64,0.35,VEN011,494.23,6,1,Sábado,Tarde,Entregue,3.5,7,Boleto,6
TXN00000088,2024-05-25,CLI001956,João Silva,27,M,Recife,CE,10066,PRD095,Mouse Logitech,Monitores,Nintendo,3872.31,3,11616.93,12,1394.03,10222.9,Norte,Marketplace,1998.56,0.19,VEN003,218.57,1,4,Domingo,Manhã,Entregue,2.6,7,PIX,5
